Time,lightvalue
11:59:10,266
11:59:11,267
11:59:12,267
11:59:14,266
11:59:16,266
11:59:17,267
11:59:20,266
11:59:21,266
11:59:22,267
11:59:23,267
11:59:24,267
11:59:25,267
11:59:26,266
11:59:31,266
11:59:32,266
11:59:34,265
11:59:36,265
11:59:58,265
11:59:59,265
11:59:59,265
