dayportion,colorname,hrbeg,hrend,photoperiod
pm,#08818c,16,18,18
pm,#b89a96,18,19,19
pm,#d9a577,19,20,20
pm,#8c5e35,20,21,21
pm,#bf8563,21,24,23
